duration,source_ip,destination_ip,source_port,destination_port,protocol,flag,forwarding_status,tos,packets,bytes
-0.1789465051850616,-0.585098966350162,-0.7559315466268832,-0.9937909507220172,-0.05630959814770158,1,10,0.0,1.293212959211123,-0.027308946228795296,-0.02667043624000675
-0.18611909214801645,-0.7245221602282752,-0.7559331169497755,-0.9937909507220172,-0.3492063863112292,1,6,0.0,-0.41020973645742026,-0.027922732481538343,-0.02670802524904942
-0.18611909214801645,-0.7245229054058179,-0.7559319434146191,1.4404968850659299,0.4942186744545147,1,1,0.0,-0.41020973645742026,-0.027922732481538343,-0.026704892831629197
-0.1543803948369414,-0.5515983745367921,-0.755931350004389,-0.8532862164618282,-0.860698329760921,1,5,0.0,-0.41020973645742026,-0.02239865620685092,-0.026426107681229393
-0.16155298179989622,1.4958064782440614,-0.7559317813339145,-0.9960598175406638,1.1039230383834877,1,14,0.0,-0.41020973645742026,-0.025467587470566155,-0.025986786138043182
-0.18432594540727773,-0.7245211534458506,1.402601790231662,-0.9937909507220172,-0.17739681023228387,1,11,0.0,-0.3250386016739931,-0.019329724943135684,-0.00935678205408179
-0.18611909214801645,-0.7245217435982779,-0.755933111635654,-0.9181345553511462,0.9788576016718966,1,8,0.0,-0.41020973645742026,-0.027922732481538343,-0.02670802524904942
-0.18611909214801645,-0.7245217427174534,0.7362974921571688,0.8791792341327558,-0.8618172054372673,2,4,0.0,-0.41020973645742026,-0.027922732481538343,-0.02668453211839775
-0.18611909214801645,-0.7245226543708301,0.7362974921571688,0.7504313552055539,-0.8618172054372673,2,4,0.0,-0.41020973645742026,-0.027922732481538343,-0.02668453211839775
-0.16011846440730526,-0.724521580645742,1.4766704854823525,1.456048935804653,-0.8629775209534781,1,17,0.0,-0.41020973645742026,-0.02485380121782311,-0.026391651089606945
-0.18611909214801645,-0.7245213049476678,-0.755933111635654,-0.9937909507220172,-0.515711662887496,1,6,0.0,-0.41020973645742026,-0.027922732481538343,-0.02670802524904942
-0.16262886984433944,-0.5515997037009905,-0.7559317822196013,-0.9960598175406638,0.5702193407663299,1,14,0.0,-0.41020973645742026,-0.025467587470566155,-0.025986786138043182
-0.18611909214801645,-0.7245213049476678,-0.755933112521341,-0.9937909507220172,-0.6569386371463107,1,6,0.0,-0.41020973645742026,-0.027922732481538343,-0.02670802524904942
-0.18611909214801645,-0.7245229062866424,-0.7559323623445278,1.5576116650320708,-0.7410200722317376,1,1,0.0,-0.41020973645742026,-0.027922732481538343,-0.026704892831629197
